id,code,claim,evidence_date,checked_on,source_url
R01,600877.SH,电科芯片代码应为600877，原688081错误；本条仅核代码,2026-09-17,2026-09-17,https://sns.sseinfo.com/company.do?uid=877
R02,002053.SZ,云南能投代码应为002053，原002117错误；本条仅核代码,2025-08-22,2026-09-17,https://static.cninfo.com.cn/finalpage/2025-08-22/1224533285.PDF
R03,600906.SH,财达证券代码应为600906，原600901为其他公司代码,2026-08-21,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12509296&stockid=600906
R04,000403.SZ,派林生物代码应为000403，原300109错误；本条仅核代码,2026-03-07,2026-09-17,https://static.cninfo.com.cn/finalpage/2026-03-07/1225000281.PDF
R05,002633.SZ,申科股份代码为002633；2025年报披露实控人为枣庄市台儿庄区国有资产事务中心,2025-12-31,2026-09-17,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12046208&stockid=002633
R06,600068.SH,葛洲坝于2021-09-13终止上市，被中国能建吸收合并，不属中国电建,2021-09-13,2026-09-17,https://www.sse.com.cn/disclosure/announcement/general/c/c_20210910_5587127.shtml
R07,600705.SH,上交所2025-05-21决定中航产融终止上市，不应留在存续A股样本中,2025-05-21,2026-09-17,https://www.sse.com.cn/disclosure/announcement/listing/c/c_20250521_10779638.shtml
R08,000400.SZ,许继电气属中国电气装备，删除国家电网项下重复归类,2026-03-18,2026-09-17,https://wap.sasac.gov.cn/n4470048/n35313464/n35373956/n35373968/c35377235/content.html
R09,600930.SH,华电新能属中国华电，不应按注册地址归入福州地方国资,2025-07-15,2026-09-17,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-07-15/600930_20250715_JDY7.pdf
R10,002439.SZ,2024-01-05中国移动成为启明星辰实控人；控股不要求100%持股,2024-01-05,2026-09-17,https://www.venustech.com.cn/new_type/gsxw/20240105/26838.html
R11,688567.SH,孚能科技2025-05-07董事会换届后实控人变为广州市人民政府，不再是单纯参股样本,2025-12-31,2026-09-17,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258214.PDF
R12,603719.SH,良品铺子武汉国资控制权转让于2025-10-15终止；不能按2025-07已完成处理,2025-10-17,2026-09-17,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11516531&stockid=603719
